Date,Ticker,Weight
01-01-2004,3MINDIA.NS,0
01-01-2004,ABB.NS,0
01-01-2004,ACC.NS,0
01-01-2004,AIAENG.NS,0
01-01-2004,APLAPOLLO.NS,0
01-01-2004,AUBANK.NS,0
01-01-2004,AARTIDRUGS.NS,0
01-01-2004,AAVAS.NS,0
01-01-2004,ABBOTINDIA.NS,0
01-01-2004,ADANIENT.NS,0
01-01-2004,ADANIGREEN.NS,0
01-01-2004,ADANIPORTS.NS,0
01-01-2004,ATGL.NS,0
01-01-2004,ADANITRANS.NS,0
01-01-2004,AWL.NS,0
01-01-2004,ABCAPITAL.NS,0
01-01-2004,ABFRL.NS,0
01-01-2004,ABSLAMC.NS,0
01-01-2004,AEGISCHEM.NS,0
01-01-2004,AETHER.NS,0
01-01-2004,AFFLE.NS,0
01-01-2004,AJANTPHARM.NS,0
01-01-2004,APLLTD.NS,0
01-01-2004,ALKEM.NS,0
01-01-2004,ALKYLAMINE.NS,0
01-01-2004,ALLCARGO.NS,0
01-01-2004,ALOKINDS.NS,0
01-01-2004,AMARAJABAT.NS,0
01-01-2004,AMBER.NS,0
01-01-2004,AMBUJACEM.NS,0
01-01-2004,ANGELONE.NS,0
01-01-2004,ANURAS.NS,0
01-01-2004,APOLLOHOSP.NS,0
01-01-2004,APOLLOTYRE.NS,0
01-01-2004,APTUS.NS,0
01-01-2004,ASAHIINDIA.NS,0
01-01-2004,ASHOKLEY.NS,0
01-01-2004,ASIANPAINT.NS,0
01-01-2004,ASTERDM.NS,0
01-01-2004,ASTRAZEN.NS,0
01-01-2004,ASTRAL.NS,0
01-01-2004,ATUL.NS,0
01-01-2004,AUROPHARMA.NS,0
01-01-2004,AVANTIFEED.NS,0
01-01-2004,DMART.NS,0
01-01-2004,AXISBANK.NS,0
01-01-2004,BASF.NS,0
01-01-2004,BSE.NS,0
01-01-2004,BAJAJ-AUTO.NS,0
01-01-2004,BAJAJELEC.NS,0
01-01-2004,BAJFINANCE.NS,0
01-01-2004,BAJAJFINSV.NS,0
01-01-2004,BAJAJHLDNG.NS,0
01-01-2004,BALAMINES.NS,0
01-01-2004,BALKRISIND.NS,0
01-01-2004,BALRAMCHIN.NS,0
01-01-2004,BANDHANBNK.NS,0
01-01-2004,BANKBARODA.NS,0
01-01-2004,BANKINDIA.NS,0
01-01-2004,MAHABANK.NS,0
01-01-2004,BATAINDIA.NS,0
01-01-2004,BAYERCROP.NS,0
01-01-2004,BERGEPAINT.NS,0
01-01-2004,BDL.NS,0
01-01-2004,BEL.NS,0
01-01-2004,BHARATFORG.NS,0
01-01-2004,BHEL.NS,0
01-01-2004,BPCL.NS,0
01-01-2004,BHARATRAS.NS,0
01-01-2004,BHARTIARTL.NS,0
01-01-2004,BIOCON.NS,0
01-01-2004,BIRLACORPN.NS,0
01-01-2004,BSOFT.NS,0
01-01-2004,BLUEDART.NS,0
01-01-2004,BLUESTARCO.NS,0
01-01-2004,BBTC.NS,0
01-01-2004,BORORENEW.NS,0
01-01-2004,BOSCHLTD.NS,0
01-01-2004,BRIGADE.NS,0
01-01-2004,BCG.NS,0
01-01-2004,BRITANNIA.NS,0
01-01-2004,MAPMYINDIA.NS,0
01-01-2004,CCL.NS,0
01-01-2004,CESC.NS,0
01-01-2004,CGPOWER.NS,0
01-01-2004,CRISIL.NS,0
01-01-2004,CSBBANK.NS,0
01-01-2004,CAMPUS.NS,0
01-01-2004,CANFINHOME.NS,0
01-01-2004,CANBK.NS,0
01-01-2004,CAPLIPOINT.NS,0
01-01-2004,CGCL.NS,0
01-01-2004,CARBORUNIV.NS,0
01-01-2004,CASTROLIND.NS,0
01-01-2004,CEATLTD.NS,0
01-01-2004,CENTRALBK.NS,0
01-01-2004,CDSL.NS,0
01-01-2004,CENTURYPLY.NS,0
01-01-2004,CENTURYTEX.NS,0
01-01-2004,CERA.NS,0
01-01-2004,CHALET.NS,0
01-01-2004,CHAMBLFERT.NS,0
01-01-2004,CHEMPLASTS.NS,0
01-01-2004,CHOLAHLDNG.NS,0
01-01-2004,CHOLAFIN.NS,0
01-01-2004,CIPLA.NS,0
01-01-2004,CUB.NS,0
01-01-2004,CLEAN.NS,0
01-01-2004,COALINDIA.NS,0
01-01-2004,COCHINSHIP.NS,0
01-01-2004,COFORGE.NS,0
01-01-2004,COLPAL.NS,0
01-01-2004,CAMS.NS,0
01-01-2004,CONCOR.NS,0
01-01-2004,COROMANDEL.NS,0
01-01-2004,CREDITACC.NS,0
01-01-2004,CROMPTON.NS,0
01-01-2004,CUMMINSIND.NS,0
01-01-2004,CYIENT.NS,0
01-01-2004,DCMSHRIRAM.NS,0
01-01-2004,DLF.NS,0
01-01-2004,DABUR.NS,0
01-01-2004,DALBHARAT.NS,0
01-01-2004,DEEPAKFERT.NS,0
01-01-2004,DEEPAKNTR.NS,0
01-01-2004,DELHIVERY.NS,0
01-01-2004,DELTACORP.NS,0
01-01-2004,DEVYANI.NS,0
01-01-2004,DHANI.NS,0
01-01-2004,DBL.NS,0
01-01-2004,DIVISLAB.NS,0
01-01-2004,DIXON.NS,0
01-01-2004,LALPATHLAB.NS,0
01-01-2004,DRREDDY.NS,0
